review_id,order_id,customer_id,product_id,product_name,category,region,stars,sentiment,review_text,review_date
R00001,ORD014208,UC07916,P0012,Poloshirt Leon,Herrenmode,Bayern,1,negativ,Nicht das was ich erwartet hatte. Werde nicht wieder kaufen.,2023-09-01
R00002,ORD003301,UC01814,P0002,Maxi-Kleid Florencia,Damenmode,Bayern,3,neutral,Ist in Ordnung. Mal sehen wie lange es hält.,2024-07-11
R00003,ORD010965,UC06124,P0006,Cardigan Vera,Damenmode,NRW,5,positiv,"Sehr schönes Design, meine Erwartungen übertroffen.",2023-12-28
R00004,ORD003340,UC01831,P0004,Strickpullover Mila,Damenmode,Baden-Württemberg,4,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2024-03-29
R00005,ORD011129,UC06213,P0040,Sporttasche Gym Plus,Sport,Berlin,4,positiv,Super Preis-Leistungs-Verhältnis. Klare Empfehlung.,2024-05-09
R00006,ORD004424,UC02429,P0014,Cargo-Shorts Marc,Herrenmode,Berlin,2,negativ,Qualität weit unter Erwartungen. Rückgabe beantragt.,2023-03-27
R00007,ORD010699,UC05987,P0002,Maxi-Kleid Florencia,Damenmode,NRW,1,negativ,Qualität weit unter Erwartungen. Rückgabe beantragt.,2023-05-29
R00008,ORD013846,UC07715,P0019,Sandalen Riviera,Schuhe,NRW,3,neutral,Ist in Ordnung. Mal sehen wie lange es hält.,2024-01-19
R00009,ORD008105,UC04513,P0025,Lederriemen Cognac,Accessoires,Baden-Württemberg,3,neutral,Entspricht der Beschreibung. Nichts Besonderes.,2024-08-01
R00010,ORD004867,UC02667,P0030,Mütze Alpaka,Accessoires,Bayern,4,positiv,"Tolle Qualität, genau wie beschrieben. Sehr zufrieden!",2023-02-21
R00011,ORD004979,UC02732,P0016,T-Shirt Basic Pack,Herrenmode,Berlin,5,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2024-12-02
R00012,ORD005484,UC03030,P0004,Strickpullover Mila,Damenmode,Baden-Württemberg,2,negativ,Lieferzeit war viel zu lang. Service katastrophal.,2024-12-15
R00013,ORD003963,UC02183,P0007,Off-Shoulder Top Ida,Damenmode,Baden-Württemberg,3,neutral,"Produkt ist ok, aber Lieferung hat etwas gedauert.",2024-12-27
R00014,ORD000759,UC00415,P0010,Chino Slim Pierre,Herrenmode,Berlin,2,negativ,Lieferzeit war viel zu lang. Service katastrophal.,2023-04-02
R00015,ORD007225,UC04030,P0007,Off-Shoulder Top Ida,Damenmode,Berlin,3,neutral,Qualität ist durchschnittlich. Für den Preis akzeptabel.,2024-04-07
R00016,ORD012117,UC06761,P0004,Strickpullover Mila,Damenmode,Bayern,4,positiv,Bin begeistert! Genau das was ich gesucht habe.,2023-07-15
R00017,ORD002832,UC01565,P0004,Strickpullover Mila,Damenmode,Berlin,5,positiv,Super Preis-Leistungs-Verhältnis. Klare Empfehlung.,2025-01-11
R00018,ORD000824,UC00456,P0017,Sneaker Urban Run,Schuhe,Hamburg,4,neutral,"Produkt ist ok, aber Lieferung hat etwas gedauert.",2023-11-27
R00019,ORD013492,UC07509,P0035,Bilderrahmen Set 3er,Home & Living,Niedersachsen,1,negativ,Lieferzeit war viel zu lang. Service katastrophal.,2024-03-02
R00020,ORD008175,UC04563,P0018,Chelsea Boot Bruno,Schuhe,Bayern,2,negativ,"Schuhe fallen zu groß aus, muss eine Größe kleiner nehmen.",2023-10-11
R00021,ORD010690,UC05982,P0037,Yoga-Matte Pro,Sport,Berlin,4,positiv,"Passt perfekt, Material fühlt sich hochwertig an.",2023-05-02
R00022,ORD011836,UC06600,P0027,Sonnenbrille Aviator,Accessoires,Bayern,5,positiv,"Tolle Qualität, genau wie beschrieben. Sehr zufrieden!",2024-11-20
R00023,ORD000272,UC00139,P0003,High-Waist Jeans Luna,Damenmode,Hessen,5,positiv,Super Preis-Leistungs-Verhältnis. Klare Empfehlung.,2023-03-15
