order_id,product_id,product_name,category,quantity,unit_price,total_price
ORD000001,P0007,Off-Shoulder Top Ida,Damenmode,1,47.35,47.35
ORD000002,P0015,Strickjacke Finn,Herrenmode,2,32.85,65.7
ORD000002,P0041,Widerstandsband Set,Sport,2,185.69,371.38
ORD000002,P0029,Portemonnaie Slim,Accessoires,1,60.66,60.66
ORD000003,P0007,Off-Shoulder Top Ida,Damenmode,1,48.19,48.19
ORD000003,P0006,Cardigan Vera,Damenmode,2,45.14,90.28
ORD000003,P0027,Sonnenbrille Aviator,Accessoires,1,66.92,66.92
ORD000003,P0010,Chino Slim Pierre,Herrenmode,1,176.01,176.01
ORD000003,P0023,Boots Heritage,Schuhe,2,181.81,363.62
ORD000004,P0030,Mütze Alpaka,Accessoires,1,66.27,66.27
ORD000005,P0020,Pumps Elegante,Schuhe,1,202.73,202.73
ORD000005,P0026,Seidenschal Parisien,Accessoires,1,62.52,62.52
ORD000005,P0013,Leinenhemd Matteo,Herrenmode,1,135.81,135.81
ORD000006,P0037,Yoga-Matte Pro,Sport,1,252.46,252.46
ORD000006,P0007,Off-Shoulder Top Ida,Damenmode,1,48.41,48.41
ORD000007,P0017,Sneaker Urban Run,Schuhe,1,184.18,184.18
ORD000007,P0018,Chelsea Boot Bruno,Schuhe,1,103.32,103.32
ORD000007,P0002,Maxi-Kleid Florencia,Damenmode,2,95.24,190.48
ORD000007,P0001,Slim-Fit Bluse,Damenmode,1,78.57,78.57
ORD000007,P0007,Off-Shoulder Top Ida,Damenmode,2,47.48,94.96
ORD000008,P0011,Kapuzenpulli Anton,Herrenmode,1,129.22,129.22
ORD000009,P0006,Cardigan Vera,Damenmode,1,46.11,46.11
ORD000009,P0038,Trinkflasche Steel 750ml,Sport,1,38.33,38.33
ORD000009,P0014,Cargo-Shorts Marc,Herrenmode,3,158.63,475.89
ORD000010,P0039,Laufjacke Wind,Sport,2,212.2,424.4
ORD000011,P0022,Loafer Classic,Schuhe,1,131.94,131.94
ORD000011,P0003,High-Waist Jeans Luna,Damenmode,1,107.71,107.71
ORD000012,P0010,Chino Slim Pierre,Herrenmode,3,176.33,528.99
ORD000012,P0040,Sporttasche Gym Plus,Sport,1,16.82,16.82
ORD000012,P0002,Maxi-Kleid Florencia,Damenmode,1,64.3,64.3
ORD000013,P0031,Kissen Lino 50x50,Home & Living,3,34.91,104.73
ORD000013,P0019,Sandalen Riviera,Schuhe,2,160.0,320.0
ORD000014,P0029,Portemonnaie Slim,Accessoires,3,59.61,178.83
ORD000014,P0023,Boots Heritage,Schuhe,1,137.53,137.53
ORD000015,P0023,Boots Heritage,Schuhe,1,187.17,187.17
ORD000015,P0040,Sporttasche Gym Plus,Sport,1,22.49,22.49
ORD000016,P0008,Midi-Rock Nora,Damenmode,2,177.34,354.68
ORD000017,P0002,Maxi-Kleid Florencia,Damenmode,2,82.56,165.12
ORD000017,P0040,Sporttasche Gym Plus,Sport,3,25.18,75.54
ORD000017,P0021,Laufschuh Sprint X,Schuhe,1,85.73,85.73
ORD000018,P0002,Maxi-Kleid Florencia,Damenmode,2,91.94,183.88
ORD000018,P0032,Überwurfdecke Merino,Home & Living,1,297.92,297.92
ORD000018,P0006,Cardigan Vera,Damenmode,3,34.48,103.44
ORD000019,P0021,Laufschuh Sprint X,Schuhe,2,83.33,166.66
ORD000019,P0013,Leinenhemd Matteo,Herrenmode,1,192.63,192.63
ORD000019,P0001,Slim-Fit Bluse,Damenmode,1,77.83,77.83
ORD000020,P0008,Midi-Rock Nora,Damenmode,2,171.6,343.2
ORD000021,P0005,Businesshose Selene,Damenmode,1,41.24,41.24
ORD000021,P0010,Chino Slim Pierre,Herrenmode,1,125.37,125.37
ORD000022,P0013,Leinenhemd Matteo,Herrenmode,1,178.3,178.3
ORD000023,P0014,Cargo-Shorts Marc,Herrenmode,2,176.48,352.96
ORD000024,P0009,Oxford Hemd Classic,Herrenmode,2,87.98,175.96
ORD000024,P0016,T-Shirt Basic Pack,Herrenmode,1,31.03,31.03
ORD000025,P0026,Seidenschal Parisien,Accessoires,1,53.97,53.97
